Driver,fp2_avg_lap,fp2_best_lap,fp2_total_laps,FastestQualiLap,QualiPosition,RacePosition,DNF,grand_prix
BOR,107.935,103.262,12,101.336,10,9,False,Belgium
COL,108.33866666666667,104.847,9,102.022,17,19,True,Belgium
GAS,113.439875,103.929,8,101.633,13,10,False,Belgium
HAD,110.11366666666667,103.122,9,101.281,8,20,True,Belgium
HAM,113.84123076923076,103.085,13,101.664,14,7,False,Belgium
HUL,108.68233333333333,103.47,9,101.707,16,12,False,Belgium
LAW,113.28354545454545,103.478,11,101.297,9,8,False,Belgium
LEC,115.94633333333333,102.928,12,100.9,3,3,False,Belgium
NOR,109.19041666666668,102.526,12,100.562,1,2,False,Belgium
OCO,106.45809090909091,103.57,11,101.525,11,15,False,Belgium
PIA,106.03958333333333,102.022,12,100.626,2,1,False,Belgium
RUS,110.38192857142857,102.598,14,101.254,7,5,False,Belgium
SAI,110.60466666666666,103.217,6,101.691,15,18,False,Belgium
STR,116.36985714285713,103.112,7,102.502,20,14,False,Belgium
TSU,109.27281818181818,104.492,11,101.245,6,13,True,Belgium
VER,106.55319999999999,102.426,10,100.903,4,4,False,Belgium
ALB,89.29255555555557,77.021,18,76.223,20,15,False,Hungary
ALO,92.67693333333334,76.233,15,75.281,5,5,False,Hungary
ANT,81.17813333333334,76.52,15,75.693,12,10,False,Hungary
BEA,95.70641176470588,76.567,17,75.694,13,21,True,Hungary
BOR,92.625,76.946,19,75.586,9,6,False,Hungary
GAS,88.6564,77.043,15,75.966,17,19,False,Hungary
HAD,86.55484210526315,76.427,19,75.469,7,11,False,Hungary
HAM,86.351875,76.329,16,75.702,14,12,False,Hungary
HUL,86.56264705882353,76.68,17,76.081,19,13,False,Hungary
LAW,85.05831578947368,76.812,19,75.63,10,8,False,Hungary
LEC,84.8818125,76.023,16,75.372,6,4,False,Hungary
NOR,92.88552941176471,75.624,17,74.89,1,1,False,Hungary
OCO,92.06668421052632,76.704,19,76.023,18,16,False,Hungary
PIA,83.9001875,75.915,16,74.941,2,2,False,Hungary
RUS,83.91900000000001,76.417,13,75.201,4,3,False,Hungary
SAI,92.32278260869565,76.874,23,75.652,11,14,False,Hungary
STR,94.3514,76.119,20,75.129,3,7,False,Hungary
TSU,91.54682352941177,76.485,17,75.899,16,17,False,Hungary
VER,86.24723529411764,76.791,17,75.547,8,9,False,Hungary
ALB,92.30916666666667,71.756,6,69.652,15,5,False,Netherlands
ALO,87.70108333333333,69.977,12,69.366,8,8,False,Netherlands
ANT,87.44312500000001,71.185,8,69.493,11,16,False,Netherlands
BEA,77.3865294117647,71.113,17,70.262,19,6,False,Netherlands
BOR,78.7769375,71.32,16,69.622,12,15,False,Netherlands
COL,85.37915384615386,70.957,13,70.104,16,11,False,Netherlands
GAS,83.918,72.122,17,69.637,14,17,False,Netherlands
HAM,87.31253846153847,70.738,13,69.261,6,21,True,Netherlands
HUL,79.2814375,71.08,16,70.195,17,14,False,Netherlands
LAW,85.17858333333334,71.339,12,69.383,9,12,False,Netherlands
LEC,81.91875,70.834,12,69.304,7,21,True,Netherlands
NOR,84.8922,69.89,15,68.674,2,21,True,Netherlands
OCO,83.71990909090908,71.361,11,70.197,18,10,False,Netherlands
PIA,80.827625,69.979,16,68.662,1,1,False,Netherlands
RUS,82.399,70.274,16,69.255,5,4,False,Netherlands
SAI,80.76906666666667,71.682,15,69.472,10,13,False,Netherlands
TSU,84.9403125,70.795,16,69.622,12,9,False,Netherlands
VER,81.96825,70.478,12,68.925,3,2,False,Netherlands
ALB,97.198375,80.179,16,79.583,14,7,False,Monza
ALO,96.18847058823529,80.645,17,79.362,9,21,True,Monza
ANT,114.0515,81.367,2,79.2,7,9,False,Monza
BEA,92.48075,80.607,20,79.446,11,12,False,Monza
BOR,86.8803,80.475,10,79.323,8,8,False,Monza
COL,88.5941,81.564,20,79.992,18,17,False,Monza
GAS,91.9274090909091,81.102,22,80.103,19,16,False,Monza
HAD,87.38638461538463,80.383,13,79.917,16,10,False,Monza
HAM,93.6466875,80.07,16,79.124,5,6,False,Monza
HUL,88.83099999999999,80.241,15,79.498,12,21,True,Monza
LAW,86.989,80.811,14,80.279,20,14,False,Monza
LEC,92.19147368421052,79.961,19,79.007,4,4,False,Monza
NOR,89.93688888888889,79.878,18,78.869,2,2,False,Monza
OCO,89.97911764705883,80.654,17,79.707,15,15,False,Monza
PIA,93.31057894736843,80.059,19,78.982,3,3,False,Monza
RUS,92.94072222222222,80.276,18,79.157,6,5,False,Monza
SAI,92.57111111111111,79.974,18,79.528,13,11,False,Monza
STR,101.65650000000001,80.528,20,79.948,17,18,False,Monza
TSU,91.9785,80.269,16,79.433,10,13,False,Monza
VER,95.07023529411765,80.077,17,78.792,1,1,False,Monza
